Inventory Number,Process Number,Section,Image Side,Material,Size,,Mounted,Negative,Conservation Status,Status,,,,,,,,,,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.42,3525,A, Recto,Recto,Recto, Verso,Pap,10 x 24 cm,1,1-18,No,"The papyrus has regularly cut at the top and bottom. The left hand side to the top is broken off. Generally, the papyrus is frayed and has some lacunae. Restoration needs to be done. (MA)",published,Ann Arbor,"3 July – 2 August, 881 A.D.",al-Túrah,"Probably al-Túrah, province of Egypt",The papyrus came to the University of Michigan as part of the Ruthven collection consisting of some 3300 objects acquired in Egypt in the 1930’s by Peter Ruthven,Arabic,Documentary,Unknown,Lease in the first person with kharáj ascribed to 267,"This is a lease of land. Written in the first person, by a person (Ibrah®m ibn Faªr®) may be a contractor. Both the lessor and the lessee, as it appears from their names, are Muslim.",Yusúf ibn Ibrah®m,Ibrah®m ibn Faªr®,A­med ibn Mu­ammad,Andúnah,,MA,881,881,,,,
Kelsey inv. 67.1.43,18061,recto-verso,Verso,Pap,16 x 17 cm,1,"recto 13 lines (across), verso 11 lines (along) with first 8 cancelled with crisscrossed lines",No,"fragile, dirt, salt accretions","neat hand, diacritics two diagonal dots over ta’, medial nun dotted, two diagonal dots unter medial and initial ya’. ","top right corner of margin on recto has numeral one in circle, first 10 lines on recto are in verse",Unpublished,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.43,18061,recto-verso,Recto,Pap,16 x 17 cm,1,"recto 13 lines (across), verso 11 lines (along) with first 8 cancelled with crisscrossed lines",No,"fragile, dirt, salt accretions","neat hand, diacritics two diagonal dots over ta’, medial nun dotted, two diagonal dots unter medial and initial ya’. ","top right corner of margin on recto has numeral one in circle, first 10 lines on recto are in verse",Unpublished,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.44,18062,recto-verso,Verso,Pap,18 x 21 cm,1,"recto 15 lines (along), verso 8 (across)",No,"fragile, dirt, water damage",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.44,18062,recto-verso,Recto,Pap,18 x 21 cm,1,"recto 15 lines (along), verso 8 (across)",No,"fragile, dirt, water damage",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.45,18063,recto-verso,Recto,Pap,20.5 x 17 cm,1,"recto 11 lines (across), verso blank",No,dirt,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment private letter7,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.46,18064,recto-verso,Verso,Pap,various sizes,18,No,"18 fragments with major folds,",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),"1 Coptic (from Kelsey lot of Coptic papyri?), 1 Greek (from Kelsey lot II of Greek papyri?)",NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.46,18064,recto-verso,Recto,Pap,various sizes,18,No,"18 fragments with major folds,",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),"1 Coptic (from Kelsey lot of Coptic papyri?), 1 Greek (from Kelsey lot II of Greek papyri?)",NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.47,18065,recto-verso,Verso,Pap,21 x 12.5 cm,1,"recto 8 line (across), verso 8 lines (along) and 1 down right margin",No,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,two texts: 2 contracts to sow and cultivate land between Zahkruf? and ʿĪsā b. Yaʿqūb b. Ḥaṣsān al-Hisramī,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.47,18065,recto-verso,Recto,Pap,21 x 12.5 cm,1,"recto 8 line (across), verso 8 lines (along) and 1 down right margin",No,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,two texts: 2 contracts to sow and cultivate land between Zahkruf? and ʿĪsā b. Yaʿqūb b. Ḥaṣsān al-Hisramī,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.48,18066,recto-verso,Verso,Pap,14.5 x 23 cm,1,"recto 11 lines (across), verso 13 (along)",No,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment private letter,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.48,18066,recto-verso,Recto,Pap,14.5 x 23 cm,1,"recto 11 lines (across), verso 13 (along)",No,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment private letter,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.49,18067,recto-verso,Verso,Pap,16.5 x 23 cm,1,"recto 19 (along) and 2 down right margin and 3 upside down along top margin, verso 1 (across)",No,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment letter,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.49,18067,recto-verso,Recto,Pap,16.5 x 23 cm,1,"recto 19 (along) and 2 down right margin and 3 upside down along top margin, verso 1 (across)",No,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment letter,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.50,18068,recto-verso,Verso,Pap,18.5 x 13 cm,1,"recto 8 (across), verso ~8 (along) with 1 line upside down",No,Assigned,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment private letter,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.50,18068,recto-verso,Recto,Pap,18.5 x 13 cm,1,"recto 8 (across), verso ~8 (along) with 1 line upside down",No,Assigned,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment private letter,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.51,18069,recto-verso,Verso,Pap,17.5 x 10 cm,1,recto 6 lines (across) and 2 upside down along top margin,verso 9 lines (along) and 2 along right margin,No,Unpublished,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,two texts:,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.51,18069,recto-verso,Recto,Pap,17.5 x 10 cm,1,recto 6 lines (across) and 2 upside down along top margin,verso 9 lines (along) and 2 along right margin,No,Unpublished,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,two texts:,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.52,3358,recto-verso,Verso,Pap,4.2 x 21.9 cm,1,1-13,No,"The left and bottom sides are regularly cut; the margin is preserved on the left, and the lower part is intentionally cut for some unknown reason. The surviving part is in a very good condition. It was horizontally folded at least 5 times. Some restoration needs to be done. (MA)",Unpublished,Ann Arbor,After 642 A.D. (Arab period),Unknown,Unknown,Arabic,documentary,Unknown,"Discribed by Tabbaa Y,Ars Orientalis, 21,  1991, 119-148. with photo in p. 121",MA,642,642,,,,,,,,,,,,,,
Kelsey inv. 67.1.52,3358,recto-verso,Recto,Pap,4.2 x 21.9 cm,1,1-13,No,"The left and bottom sides are regularly cut; the margin is preserved on the left, and the lower part is intentionally cut for some unknown reason. The surviving part is in a very good condition. It was horizontally folded at least 5 times. Some restoration needs to be done. (MA)",Unpublished,Ann Arbor,After 642 A.D. (Arab period),Unknown,Unknown,Arabic,documentary,Unknown,"Discribed by Tabbaa Y,Ars Orientalis, 21,  1991, 119-148. with photo in p. 121",MA,642,642,,,,,,,,,,,,,,
Kelsey inv. 67.1.53,18070,recto-verso,Verso,Pap,1,No,Unpublished,Ann Arbor,Unknown,Unknown,Greek,Documentary,NL,,,,,,,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.53,18070,recto-verso,Recto,Pap,1,No,Unpublished,Ann Arbor,Unknown,Unknown,Greek,Documentary,NL,,,,,,,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.54,18073,recto-verso,Recto,Pap,9 x 11 cm,1,"recto 9 lines (across), verso blank",No,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.55,18072,a, recto-verso,Verso,Pap,11 x 33.5 cm,1,"recto 17 lines (along), verso 15 lines (across) columns",No,Unpublished,Ann Arbor,Unknown,Unknown,Arabic,Documentary,fragment tax register,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.55,18072,a, recto-verso,Recto,Pap,11 x 33.5 cm,1,"recto 17 lines (along), verso 15 lines (across) columns",No,Unpublished,Ann Arbor,Unknown,Unknown,Arabic,Documentary,fragment tax register,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.56,18071,recto-verso,Verso,Pap,10 x 23 cm,1,"recto 19 (across) and 2 upside down along top margin, verso 1 (along)",No,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment private letter with address on verso,NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.56,18071,recto-verso,Recto,Pap,10 x 23 cm,1,"recto 19 (across) and 2 upside down along top margin, verso 1 (along)",No,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment private letter with address on verso,NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.57,18074,recto-verso,Verso,Pap,22 x 19.5 cm,1,"recto 11 lines (along) and 2 down right margin, verso 1 (across)",No,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment private letter with address on verso,NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.57,18074,recto-verso,Recto,Pap,22 x 19.5 cm,1,"recto 11 lines (along) and 2 down right margin, verso 1 (across)",No,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment private letter with address on verso,NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.58,18075,recto,Recto,Pap,20.5 x 24.5 cm,1,"recto 25 (across), verso blank",No,conservation with bridges of Japanese paper,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment private letter with address on verso,NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.59,4217,recto-verso,Verso,under research, contact institution,Pap,22 x 19.5 cm,1,"recto 11 lines (along) and 2 down right margin, verso 1 (across)",Assigned,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment private letter with address on verso,NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.59,4217,recto-verso,Recto,under research, contact institution,Pap,22 x 19.5 cm,1,"recto 11 lines (along) and 2 down right margin, verso 1 (across)",Assigned,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,fragment private letter with address on verso,NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.60,4218,recto-verso,Verso,under research, contact institution,Pap,26.5 x 20 cm,1,"recto 9 lines (across), verso 1 (along)",Assigned,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,address on verso,NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.60,4218,recto-verso,Recto,under research, contact institution,Pap,26.5 x 20 cm,1,"recto 9 lines (across), verso 1 (along)",Assigned,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,address on verso,NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.61,18045,recto,Recto,Pap,8 x 30.5 cm,11 x 31 cm,2,"recto 20 lines (along) plus 2 lines in top left corner upside down plus 1 line along right margin, Verso: blank",No,"two fragments, fitting together",Unpublished,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,documentary,Unknown,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.62,18046,recto,Recto,Pap,27 x 35 cm,1,"recto 16 lines (across), verso blank",No,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,documentary,Unknown,fragment private letter,Based on Sarah Zubair Mizra,s description of the Arabic papyri (July-August 2010),NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.63,18076,recto-verso,Verso,Par,20 x 40.5 cm,1,"recto (hair) 24 lines, verso (flesh) 37 lines",No,white parchment,"naskhi script, occasional pointing",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,legal document of sale,NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.63,18076,recto-verso,Recto,Par,20 x 40.5 cm,1,"recto (hair) 24 lines, verso (flesh) 37 lines",No,white parchment,"naskhi script, occasional pointing",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,legal document of sale,NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.64,18077,recto-verso,Verso,Par,18.5 x 14.5 cm,1,"recto (flesh) 15 lines and 8 lines upside down top right margin and corner and 1 line along left margin, verso (hair) 2 lines",No,"fire damage, creases","naskhi script, occasional pointing",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,formal letter--petition?,NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.64,18077,recto-verso,Recto,Par,18.5 x 14.5 cm,1,"recto (flesh) 15 lines and 8 lines upside down top right margin and corner and 1 line along left margin, verso (hair) 2 lines",No,"fire damage, creases","naskhi script, occasional pointing",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,formal letter--petition?,NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.65,18078,recto-verso,Verso,Paper,16.5 x 19 cm,1,"recto 5 lines and drawing, verso 3 lines",No,"dirt, fragile",red and brown ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.65,18078,recto-verso,Recto,Paper,16.5 x 19 cm,1,"recto 5 lines and drawing, verso 3 lines",No,"dirt, fragile",red and brown ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.66,18079,recto-verso,Verso,Paper,"17.5 x 28.8 cm; dimensions of text 12.3 x 17.9 cm,",1,17 lines per page,No,"European paper--laid lines vertical, chain lines 30 mm apart, watermarked (hand with five spread fingers?)","Maghribi script; fully vowelled in red, main text in sepia, interlinear notations in blue, chapter headings in vermillion, green dots for hamzat al-wasl, yellow dots for hamzat al-qat’",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,Qur’an,"Qur’an fragment, 4:177-5:7 (ends two words prior to end of verse with last word broken at line)",NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.66,18079,recto-verso,Recto,Paper,"17.5 x 28.8 cm; dimensions of text 12.3 x 17.9 cm,",1,17 lines per page,No,"European paper--laid lines vertical, chain lines 30 mm apart, watermarked (hand with five spread fingers?)","Maghribi script; fully vowelled in red, main text in sepia, interlinear notations in blue, chapter headings in vermillion, green dots for hamzat al-wasl, yellow dots for hamzat al-qat’",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,Qur’an,"Qur’an fragment, 4:177-5:7 (ends two words prior to end of verse with last word broken at line)",NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.67,18080,recto-verso,Verso,Paper,16.9 x 24.4 cm, dimensions of text 11.9 x 19.2 cm,1,17 lines per page,No,"European paper--laid lines vertical, chain lines 38 mm apart, watermarked (name)",red and black ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Coptic,Documentary,NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.67,18080,recto-verso,Recto,Paper,16.9 x 24.4 cm, dimensions of text 11.9 x 19.2 cm,1,17 lines per page,No,"European paper--laid lines vertical, chain lines 38 mm apart, watermarked (name)",red and black ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Coptic,Documentary,NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.68,18081,recto-verso,Verso,Paper,10.9 x 15.6 cm, dimensions of text 8.3 x 13 cm,1,13 lines per page,No,"European paper--laid lines vertical, chain lines 38 mm apart, watermarked (name)",red and black ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"literary, Muslim theology",NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.68,18081,recto-verso,Recto,Paper,10.9 x 15.6 cm, dimensions of text 8.3 x 13 cm,1,13 lines per page,No,"European paper--laid lines vertical, chain lines 38 mm apart, watermarked (name)",red and black ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"literary, Muslim theology",NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.69,18082,recto-verso,Verso,Paper,11.9 x 20.4 cm, dimensions of text 11.1 x 14.5 cm,1,9 lines per page,No,laid paper,black and red ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"literary, Christian text",NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.69,18082,recto-verso,Recto,Paper,11.9 x 20.4 cm, dimensions of text 11.1 x 14.5 cm,1,9 lines per page,No,laid paper,black and red ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"literary, Christian text",NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.70,18083,recto-verso,Verso,Paper,15.1 x 20.1 cm, dimensions of text 8.3 x 12.4 cm,1,23 lines per page,No,laid paper,red and black ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"literary, grammatical text",NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.70,18083,recto-verso,Recto,Paper,15.1 x 20.1 cm, dimensions of text 8.3 x 12.4 cm,1,23 lines per page,No,laid paper,red and black ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"literary, grammatical text",NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.71,18084,recto-verso,Verso,Paper,14.2 x 20.3 cm,  dimensions of text 10.2 x 15.5 cm,1,"recto 14 lines, verso 19 lines",No,laid paper,black and red ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"literary, narrative",NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.71,18084,recto-verso,Recto,Paper,14.2 x 20.3 cm,  dimensions of text 10.2 x 15.5 cm,1,"recto 14 lines, verso 19 lines",No,laid paper,black and red ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"literary, narrative",NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.72,18085,recto-verso,Verso,Paper,15 x 21.2 cm, dimensions of text 11.2 x 14 cm,1,"recto 9 lines, verso 9 lines",No,laid paper,black and red ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"literary, Muslim theology",NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.72,18085,recto-verso,Recto,Paper,15 x 21.2 cm, dimensions of text 11.2 x 14 cm,1,"recto 9 lines, verso 9 lines",No,laid paper,black and red ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"literary, Muslim theology",NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.73,18086,recto-verso,Verso,Paper,16.1 x 20 cm, dimensions of text 11 x 15 cm,1,"recto 14 lines, verso 13 lines",No,"paper--European, laid lines vertical, watermark (crown?)",red and black ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"literary, Christian",NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.73,18086,recto-verso,Recto,Paper,16.1 x 20 cm, dimensions of text 11 x 15 cm,1,"recto 14 lines, verso 13 lines",No,"paper--European, laid lines vertical, watermark (crown?)",red and black ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"literary, Christian",NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.74,18087,recto-verso,Verso,Paper,15.2 x 21.2 cm, dimensions of text 10.5 x 15.4,1,"recto 16 lines, verso 14 lines",No,"paper--European, laid lines vertical, watermark (crown?)",red and black ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Coptic,Literary,NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.74,18087,recto-verso,Recto,Paper,15.2 x 21.2 cm, dimensions of text 10.5 x 15.4,1,"recto 16 lines, verso 14 lines",No,"paper--European, laid lines vertical, watermark (crown?)",red and black ink,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Coptic,Literary,NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.75,18088,recto-verso,Verso,Paper,19.2 x 27.5 cm,1,7 lines per page,No,laid paper,"black ink for main text, interlinear marks in red, verse markers gold circles with dots of blue, green, and red; page ruled in green and red; naskhi script",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,Qur’an,leaf of Qur’an,NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.75,18088,recto-verso,Recto,Paper,19.2 x 27.5 cm,1,7 lines per page,No,laid paper,"black ink for main text, interlinear marks in red, verse markers gold circles with dots of blue, green, and red; page ruled in green and red; naskhi script",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,Qur’an,leaf of Qur’an,NL,700,899,,,,,,,,,,,,,
Kelsey inv. 67.1.76,18089,recto-verso,Verso,Par,18.5 x 27 cm,1,"recto (flesh) 17 lines, verso (hair) 18 lines",No,yellow parchment,"black ink for main text, interlinear marks in red, verse markers gold circles with dots of blue, green, and red; page ruled in green and red; naskhi script",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.76,18089,recto-verso,Recto,Par,18.5 x 27 cm,1,"recto (flesh) 17 lines, verso (hair) 18 lines",No,yellow parchment,"black ink for main text, interlinear marks in red, verse markers gold circles with dots of blue, green, and red; page ruled in green and red; naskhi script",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,NL,700,899,,,,,,,,,,,,,,,
Kelsey inv. 67.1.77,18090,recto-verso,Verso,Paper,22.2 x 29.1 cm,1,"20 sheets, 3 quires with no thread remaining, not foliated or paginated",24 lines per page,No,"paper--laid, European with 3 watermarks","main text in iron gall ink, chapter headings in yellow, sectional breaks in vermillion","ink burn through, some pest damage, otherwise intact",VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"collection of hadith, including “Kitāb al-Adab” and “Kitāb al-Libās”",NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.77,18090,recto-verso,Recto,Paper,22.2 x 29.1 cm,1,"20 sheets, 3 quires with no thread remaining, not foliated or paginated",24 lines per page,No,"paper--laid, European with 3 watermarks","main text in iron gall ink, chapter headings in yellow, sectional breaks in vermillion","ink burn through, some pest damage, otherwise intact",VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"collection of hadith, including “Kitāb al-Adab” and “Kitāb al-Libās”",NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.78,18091,recto-verso,Verso,Paper,15 x 11 cm,1,No,laid paper,red and black ink, calligraphy,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"recto--illuminated basmala and practice, verso 2 lines",NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.78,18091,recto-verso,Recto,Paper,15 x 11 cm,1,No,laid paper,red and black ink, calligraphy,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,"recto--illuminated basmala and practice, verso 2 lines",NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.80,18092,recto-verso,Verso,Paper,18.5 x 18.7 cm,1,No,pest damage but illustration intact,red and black ink, calligraphy,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,recto--black and red ink illustration of minbar in mosque and ceiling with lamps and roof (perhaps Masjid al-Nabi),NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.80,18092,recto-verso,Recto,Paper,18.5 x 18.7 cm,1,No,pest damage but illustration intact,red and black ink, calligraphy,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Literary,recto--black and red ink illustration of minbar in mosque and ceiling with lamps and roof (perhaps Masjid al-Nabi),NL,700,899,,,,,,,,,,,,,,
Kelsey inv. 67.1.81,18093,recto-verso,Verso,Paper,12.9 x 25.3 cm,1,No,"pest damage, dirt","block print in red ink, figure 8 shape containing writing Arabic",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.81,18093,recto-verso,Recto,Paper,12.9 x 25.3 cm,1,No,"pest damage, dirt","block print in red ink, figure 8 shape containing writing Arabic",Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,NL,700,899,,,,,,,,,,,,,,,,
Kelsey inv. 67.1.82,18094,recto-verso,Verso,Paper,~14 x 13 cm,1,No,laid paper, dirt,Unpublished,Ann Arbor,VIIIth-IXth century A.D.,Unknown,Unknown,Arabic,Documentary,"fragment of interlaced geometrical motif, red with black border",NL,700,899,,,,,,,,,,,,,,,
